product_id;product_name;brand
165;Chicken - Lollipop, Antibiotic Residue-Free, 28 To 35 pcs;Fresho
166;White Prawns - Medium, Unpeeled, 60 to 80 Pcs;Fresho
167;White Prawns - Medium, Unpeeled, 30-50 pcs;Fresho
168;White Prawns - Medium, Unpeeled, 20-30 pcs;Fresho
169;French Yogurt - Mango;Mamie Yova
170;Crushed Peanut Chikkis;IndiSecrets
171;Rajbhog Ice Cream;Amul
172;Vanilla Wafers;Britannia Treat
173;Chicken - Biryani Cut, 20 To 25 pcs;Fresho
174;White Prawns - Jumbo, Peeled & Deveined, 30-40 pcs;Fresho
175;White Prawns - Jumbo, Peeled & Deveined, 10-20 pcs;Fresho
176;Ready To Drink Protein Milkshake - Cold Coffee;Raw Pressery
177;Nutrition Energy Bar - Almonds & Raisins;GoodDiet
178;Kolkata/Bengali Tengra Fish - Whole Cleaned;Fresho
179;Banana Pudding Cake - Sliced;Elite
180;Kolkata/Bengali Hilsa Fish - Cut Pieces, Large;Fresho
181;Lush Hariyali Chicken Tikka - Fresh & Juicy, Marinated, Ready To Cook;Fresho
182;Tandoori Chicken - Fresh & Juicy, Marinated, Ready To Cook;Fresho
183;Premium Curd - Natural Source Of Calcium;Heritage
184;Potato Stix - Aloo Chat,75g + Rings - Tomato Twist,75 g;Too Yumm!
185;Chicken Malai Tikka - Fresh & Juicy, Marinated, Ready To Cook;Fresho
186;Cookies - Chocochip, Crunchy;Fresho Signature
187;Deliciously French Yogurt - Natural, Probiotic-Rich, Creamy & Thick, No Preservatives;Mamie Yova
188;Cheese Spread - Roasted Garlic;Britannia
189;Nutrition Energy Bar - Dates & Walnut;GoodDiet
190;Basa Fish Cubes - Boneless, Fresh & Flavourful;Fresho
191;GoodDiet Quinoa Muesli Nuts & Seeds 350g;bb Combo
192;Multi Millet Muesli - With Fruits, Nuts & Berries;GoodDiet
193;Snack Bar - Fruit & Nut, Choco;Unibic
194;Nutrition Energy Bar - Pumpkin Seeds & Cranberries;GoodDiet
195;Oreo & Crème Frozen Dessert;kwality walls
196;Tilapia Fish - Curry Cut;Fresho
197;Moonfils Orange 45 g + Savoriz - Soft Puff Roll With Cheese Jalapeno 52 g;Bauli
198;Oreo Chocolatey Sandwich Biscuits + Oreo Vanilla Creme Biscuit, Each Of 300 g;Cadbury
199;Chicken Seekh Kabab Nawabi;Fresho
200;Green Chilli Sauce;Tasties
201;100% Natural Cold Pressed Juice - Grapefruit;Raw Pressery
202;Desi Rohu Fish Steak - Fresh & Juicy, Marinated, Ready To Cook;Fresho
203;Peri-Peri Chicken Wings - Fresh & Juicy, Marinated, Ready To Cook;Fresho
204;Chicken Drumsticks - With Skin, Fleshy & Tender;Fresho
205;Organic Jamun Honey;BB Royal
206;Red Chilli Sauce;Tasties
207;BBQ Pepper Chicken Cubes - Fresh & Juicy, Marinated, Ready To Cook;Fresho
208;Tilapia Fillet - Fresh & Flavourful;Fresho
209;Jeera Cookies;Tasties
210;Sugar Free Butter Cookies;Unibic
211;Premium Wafer Bites - Strawberry;Tasties
212;Sardine Fish - Large, Whole Cleaned, Preservative Free, 10 To 15 pcs;Fresho
213;Chicken Seekh Kabab Regular;Fresho
214;Dark Fantasy - Vanilla Crème, Dark Crunchy Biscuit, With Smooth Cream;Sunfeast
215;Mutton Lamb - Boneless, Perfect For Curries, Fresh & Tender, 28 To 35 pcs;Fresho
216;Mutton Lamb - Boneless, Perfect For Curries, Fresh & Tender, 14 To 18 pcs;Fresho
217;Mutton Lamb - Boneless, Perfect For Curries, Fresh & Tender, 7 to 9 pcs;Fresho
218;Shahi Mughlai Plater;Fresho
219;Potato Chips - Classic Salted;Too Yumm!
220;Chicken Seekh Kabab Malai N Cheese;Fresho
221;Instant Veggie Upma - Ready To Eat, Wholesome Breakfast;Aashirvaad
222;Instant Veggie Upma With Vegetables;Aashirvaad
223;Creamy Afghani Chicken Tikka - Fresh & Juicy, Marinated, Ready To Cook;Fresho
224;100% Natural Cold Pressed Juice - Mango;Raw Pressery
225;Assorted Nutty Cookies Gift Box - Choco Almond, Peanut Butter & White Choco Cashew;Open Secret
226;Center Filled Coffee Cookies;Fresho Signature
227;Strawberry Milkshake - With Real Strawberry Pulp, Thick & Creamy;Sunfeast
228;Honey Mustard Fish - Fresh & Juicy, Marinated, Ready To Cook;Fresho
229;Atlantic Salmon Fish;Fresho
230;BBQ Pepper Exotic Whole Chicken Wings With Skin - Fresh & Juicy, Marinated, Ready To Cook;Fresho
231;Garlic Naan;GOELD
232;Chilli Garlic Grissini Breadsticks - 100% Wholewheat;The Baker's Dozen
233;Bread Sticks - Plain;Fresho Signature
234;5 Min Yum Pasta - With Red Sauce;Sundrop
235;Spicy Cheese Straw;Fresho Signature
236;Masala Lavash;Fresho Signature
237;White Prawns - Fresh, Peeled & De-Veined;Fresho
238;Nutrition Energy Bar - Tropical Mango, Ginger & Sesame Seeds;GoodDiet
239;Rakshan Green Tea - Supports Strong Immunity;Kapiva
240;Alfredo Pasta Sauce;Spice Story
241;Svastha Green Tea - Promotes Overall Well-Being;Kapiva
242;Multigrain Choco Vanilla Fills Breakfast Cereal - Zero Cholesterol, High Protein, Fibre Power;Swad
243;Multigrain Strawberry Fills Breakfast Cereal - High Protein, Fibre Power;Swad
244;Wholegrain Choco Magic Stars Breakfast Cereal - Zero Cholesterol, High Protein, Fibre Power;Swad
245;Mutton Lamb Ribs Chop;Fresho
246;Cashew Badam Cookies;Unibic
247;Assorted Cookies;CookieMan
248;Tomato Ketchup - Tangy Flavour;Mrs.Food Rite
249;Sweet Chilli Sauce - Hot & Sweet, Fifty-fifty, Medium Spicy;ChefBoss
250;Crab - Red, Cleaned & Whole Cut;Fresho
251;Nilgiri Oolong Tea - Wa, May Help In Weight Management;Teamonk
252;Darjeeling Green Tea Bags - Ahina Long Leaf, Helps To Detox;Teamonk
253;Nilgiri Green Tea - Koge Jasmine, Helps To Feel Relaxed & Refreshed;Teamonk
254;Nilgiri Green Tea - Seiki Peppermint, Helps To Feel Relaxed & Refreshed;Teamonk
255;Nilgiri Green Tea - Taido Ginger, Easy To Digest;Teamonk
256;Centre Filled-Choco Kiss Cookies;Unibic
257;White Choco Cashew Nutty Cookies;Open Secret
258;Peanut Butter Nutty Cookies;Open Secret
259;Instant Drink Mix - Mango;Tang
260;Muesli Wholegrain Breakfast - Rich In Fibre & Protein, Zero Sugar Added, Coffeeluv;ASAP
261;Cookies - Orange Splash, Super Saver Pack;UNIBIC FOODS
262;Nilgiris Green Tea - Yoshin Lemon, Helps To Feel Relaxed;Teamonk
263;Nilgiris Green Tea - Kozan Spearmint, Helps To Feel Relaxed & Refreshed;Teamonk
264;Golden Milk Powder With Curcumin - Organic Turmeric Moringa Latte Mix Superfood;VAHDAM
265;Cookies - Peanut Butter, Eggless;Fresho Signature
266;Instant Coffee - Speciale;Continental
267;Natura Rice & Almond Drink, Vegan;BORGES
268;Vedic Suraksha Green Tea - With Herbs, Boosts Immunity;Dabur
269;Baguette - Garlic Bread;Unroll
270;Mutton Lamb Steak - Tender & Juicy;Fresho
271;Mini Cookies - Cardamom;Fresho Signature
272;Yellow Banana Chips Snacks - Classic Salted Flavour, No Preservatives Added;5:15PM
273;Pasta - Elbow Macaroni;Blue Bird
274;Corn Flakes - With Real Almonds & Honey, Fibre-rich Breakfast;Zerobeli
275;Corn Flakes - With Real Mango Puree, Fibre-Rich Breakfast;Zerobeli
276;Pasta - Penne;Blue Bird
277;Durum Wheat Penne Rigate, N.69;San Vito
278;Spaghetti Pasta - Durum Wheat;San Vito
279;Nilgiris Green Tea - Anicca Chamomile, Helps To Relax & Calm;Teamonk
